Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,02,633000,261,3470,82200 ,00000 ,3976 ,999,99999, , ,99686      ,4,9,10,Valdez,14,14,3313900,0,0,0,0,0,0,0,0,0,12,12,2896500,0,0,0,0,0,0,0,0,0
202012,02,645000,170,3520,83080 ,00000 ,7831 ,999,11260, , ,99654      ,4,9,12,Wasilla,8,8,2374671,8,16,2765800,2,8,1189092,0,0,0,8,8,2374671,8,16,2765800,2,8,1189092,0,0,0
202012,02,653000,261,3550,84510 ,00000 ,220 ,999,99999, , ,996930608  ,4,9,0,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,657000,275,    ,86380 ,00000 ,2369 ,999,99999, , ,99929      ,4,9,12,Wrangell city and borough,3,3,615000,0,0,0,0,0,0,0,0,0,3,3,615000,0,0,0,0,0,0,0,0,0
202012,02,661000,282,3610,86490 ,00000 ,662 ,999,99999, , ,99689      ,4,9,11,Yakutat city and borough,5,5,1107425,0,0,0,0,0,0,0,0,0,4,4,940502,0,0,0,0,0,0,0,0,0
202012,04,001000,001,    ,99990 ,00000 ,61192 ,999,99999, , ,85936      ,4,8,12,Apache County Unincorporated Area,60,60,17155847,0,0,0,0,0,0,0,0,0,60,60,17155847,0,0,0,0,0,0,0,0,0
202012,04,009000,021,0007,02830 ,00000 ,35546 ,429,38060,2, ,851192899  ,4,8,12,Apache Junction,131,131,19311340,0,0,0,3,12,857288,1,10,1064912,131,131,19311340,0,0,0,3,12,857288,1,10,1064912
202012,04,013000,013,0013,04720 ,00000 ,76238 ,429,38060, , ,85323      ,4,8,12,Avondale,549,549,153131895,0,0,0,0,0,0,31,354,48388692,549,549,153131895,0,0,0,0,0,0,31,354,48388692
202012,04,025000,013,0030,07940 ,00000 ,50876 ,429,38060, , ,85326      ,4,8,12,Buckeye,3341,3341,943152905,0,0,0,0,0,0,0,0,0,3341,3341,943152905,0,0,0,0,0,0,0,0,0
202012,04,029000,015,0031,08220 ,00000 ,39540 ,999,29420, , ,86442      ,4,8,12,Bullhead City,305,305,65300868,0,0,0,0,0,0,0,0,0,305,305,65300868,0,0,0,0,0,0,0,0,0
202012,04,037000,013,0039,10180 ,00000 ,3363 ,429,38060, , ,85377      ,4,8,12,Carefree town,17,17,11119757,0,0,0,0,0,0,0,0,0,17,17,11119757,0,0,0,0,0,0,0,0,0
202012,04,041000,021,0040,10530 ,00000 ,48571 ,429,38060, ,1,85122      ,4,8,9,Casa Grande,1045,1045,238892325,0,0,0,0,0,0,0,0,0,875,875,199016317,0,0,0,0,0,0,0,0,0
202012,04,045000,013,0044,11300 ,00000 ,5015 ,429,38060, , ,85331      ,4,8,12,Cave Creek town,77,77,27060209,0,0,0,0,0,0,0,0,0,77,77,27060209,0,0,0,0,0,0,0,0,0
202012,04,049000,013,0050,12000 ,00000 ,236123 ,429,38060, ,1,852444008  ,4,8,12,Chandler,821,821,273412045,28,56,11623985,34,104,20813951,72,920,138473364,821,821,273412045,28,56,11623985,34,104,20813951,72,920,138473364
202012,04,065000,003,    ,99990 ,00000 ,52410 ,999,43420, , ,85603      ,4,8,11,Cochise County Unincorporated Area,218,218,36967823,0,0,0,0,0,0,0,0,0,201,201,33313870,0,0,0,0,0,0,0,0,0
202012,04,069000,005,    ,99990 ,00000 ,54125 ,999,22380, , ,860019331  ,4,8,12,Coconino County Unincorporated Area,280,280,57898188,0,0,0,0,0,0,0,0,0,280,280,57898188,0,0,0,0,0,0,0,0,0
202012,04,077000,021,0067,15500 ,00000 ,11825 ,429,38060, , ,85228      ,4,8,12,Coolidge,529,529,87905776,0,0,0,0,0,0,4,168,8400000,529,529,87905776,0,0,0,0,0,0,4,168,8400000
202012,04,085000,003,0080,20050 ,00000 ,17378 ,999,43420, ,1,856072030  ,4,8,0,Douglas,4,4,300419,0,0,0,0,0,0,3,15,1447743,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,097000,013,0100,22220 ,00000 ,31797 ,429,38060, , ,853352955  ,4,8,12,El Mirage,44,44,10783195,0,0,0,0,0,0,0,0,0,44,44,10783195,0,0,0,0,0,0,0,0,0
202012,04,101000,021,0105,22360 ,00000 ,16631 ,429,38060, , ,85231      ,4,8,11,Eloy,116,116,25807132,0,0,0,0,0,0,0,0,0,103,103,23312305,0,0,0,0,0,0,0,0,0
202012,04,105000,005,0115,23620 ,00000 ,65870 ,999,22380, ,1,86001      ,4,8,12,Flagstaff,280,280,67554802,0,0,0,2,6,200000,6,302,70300890,280,280,67554802,0,0,0,2,6,200000,6,302,70300890
202012,04,109000,021,0120,23760 ,00000 ,25536 ,429,38060, , ,85132      ,4,8,12,Florence town,399,399,112487408,0,0,0,0,0,0,0,0,0,399,399,112487408,0,0,0,0,0,0,0,0,0
202012,04,113000,013,0124,25300 ,00000 ,22489 ,429,38060, , ,85268      ,4,8,12,Fountain Hills town,56,56,22658740,1,2,460813,0,0,0,2,75,8124339,56,56,22658740,1,2,460813,0,0,0,2,75,8124339
202012,04,117000,005,0125,25720 ,00000 ,1314 ,999,22380, , ,86022      ,4,8,1,Fredonia town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,121000,013,0129,27050 ,00000 ,1922 ,429,38060, , ,85337      ,4,8,4,Gila Bend town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,125000,007,    ,99990 ,00000 ,25602 ,999,99999, , ,85501      ,4,8,12,Gila County Unincorporated Area,107,107,17492544,0,0,0,0,0,0,0,0,0,107,107,17492544,0,0,0,0,0,0,0,0,0
202012,04,129000,013,0135,27400 ,00000 ,208453 ,429,38060, , ,85296      ,4,8,12,Gilbert town,1227,1227,264627284,0,0,0,0,0,0,89,1286,192903387,1227,1227,264627284,0,0,0,0,0,0,89,1286,192903387
202012,04,133000,013,0140,27820 ,00000 ,226721 ,429,38060, , ,85301      ,4,8,12,Glendale,546,546,148197767,1,2,381996,0,0,0,0,0,0,546,546,148197767,1,2,381996,0,0,0,0,0,0
202012,04,141000,013,0150,28380 ,00000 ,65275 ,429,38060, , ,85338      ,4,8,12,Goodyear,1928,1928,601668060,40,80,15483086,2,8,1177230,11,744,85858068,1928,1928,601668060,40,80,15483086,2,8,1177230,11,744,85858068
202012,04,145000,009,    ,99990 ,00000 ,20402 ,999,99999, , ,85546      ,4,8,12,Graham County Unincorporated Area,67,67,15930556,0,0,0,0,0,0,0,0,0,67,67,15930556,0,0,0,0,0,0,0,0,0
202012,04,153000,013,0158,30270 ,00000 ,5523 ,429,38060, , ,852832538  ,4,8,12,Guadalupe town,2,2,293000,0,0,0,0,0,0,0,0,0,2,2,293000,0,0,0,0,0,0,0,0,0
202012,04,157000,007,0160,32020 ,00000 ,662 ,999,99999,2, ,85135      ,4,8,12,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
