@type|@id|name|name:en|place|wikidata|@lat|@lon
way|15682714|Grasstop Rock||islet||57.4350166|-135.6049042
way|15682715|Sosnovoi Island||islet||56.9028244|-135.3642578
way|15682721|Japonski Island||island|Q6159341|57.0479056|-135.3587289
way|15682723|Low Island||islet||57.0113666|-135.6116055
way|15682724|Breast Island||islet|Q49633878|57.0391272|-135.3316578
way|15682741|Big Island||islet||57.4368896|-135.5930023
way|15682743|Kita Island||islet||56.9384842|-135.4367447
way|15682784|Glagolm Island||islet||56.9376755|-135.4249420
way|15682801|Broad Island||island||57.5864941|-135.3902265
way|15682889|John Rock||islet||56.7712479|-135.4647827
way|15682942|Cedar Island||islet||57.8664638|-135.0437059
way|15682989|Mills Island||islet||57.1859608|-135.5683517
way|15682992|North Cape||island||56.5997868|-135.1352921
way|15683031|Rockwell Island||islet|Q49675044|57.0370590|-135.3385170
way|15683061|Little Island||islet||57.4299869|-135.5973587
way|15683070|Tentree Island||islet||57.8305038|-136.3667644
way|15683084|Gull Islet||islet||56.9954834|-135.3425522
way|15683118|Piper Island||island||57.3912811|-135.5929947
way|15683159|Lydonia Island||islet|Q49655468|57.7133706|-136.1703478
way|15683266|Jacob Rock||islet||56.7876816|-135.4981689
way|15683272|Apple Island||island||57.0688620|-135.4125434
way|15683279|Krugloi Island||islet||57.5634556|-135.4705886
way|15683338|Duck Island||islet||57.6745124|-136.1612597
way|15683358|Legma Island||island||56.8228607|-135.4508362
way|15683421|Klokachef Island||island||57.4103718|-135.8872223
way|15683466|Galkin Island||islet||56.8310948|-135.4259872
way|15683537|Junction Island||islet||57.9976907|-136.3180554
way|15683589|Midway Island||islet||57.9965663|-135.6103226
way|15683611|Twin Island||islet||57.5977731|-136.0961785
way|15683635|Round Island||islet||56.9140606|-135.3806534
way|15683637|Limit Island||islet||57.2547493|-135.4732590
way|15683672|Sealion Island||island||57.2836259|-135.8784108
way|15683702|Fankuda Islet||islet||56.9098644|-135.3624115
way|15683707|Pishak Island||islet||56.8095951|-135.4363022
way|15683726|Vitskari Island||islet||56.9995207|-135.5448747
way|15752058|Beardslee Islands||islet|Q49632585|57.0345385|-135.3435390
way|15752067|Little Gavanski Island||islet||57.1258994|-135.4336245
way|15752091|Little Cedar Island||islet||57.8705159|-135.0541523
way|15752226|Strawberry Island||islet||57.7390717|-135.1816311
way|15752231|Berry Island||islet||57.0055943|-135.3083573
way|15752241|Marshall Island||island||57.0325402|-135.2721266
way|15752248|Hoggatt Island||island||57.5514806|-135.5090560
way|15752279|Biorka Island||island||56.8509483|-135.5434695
way|15752358|Dead Tree Island||islet||57.4125376|-135.0196023
way|15752400|Beric Island||islet||57.8022468|-136.3944915
way|15752423|White Crag Island||islet||57.9058582|-136.5448826
way|15752489|Wrangell Island||islet||56.8523655|-135.4945221
way|15752546|Entrance Island||islet||57.2922783|-135.6051865
way|15752554|Fassett Island||islet||57.0103245|-135.3060302
way|15752556|Kanga Island||islet||56.8966045|-135.3613205
